ccg_name,nhser_name,pop
NHS Luton CCG,East of England,214109
NHS Leicester City CCG,Midlands,355218
NHS Brent CCG,London,330795
NHS Hounslow CCG,London,270782
NHS Milton Keynes CCG,East of England,275002
NHS Isle of Wight CCG,South East,141538
NHS Barking and Dagenham CCG,London,211998
NHS Ealing CCG,London,341982
NHS Sandwell and West Birmingham CCG,Midlands,504641
NHS Redbridge CCG,London,303858
NHS Newham CCG,London,352005
NHS Harrow CCG,London,250149
NHS South East London CCG,London,1811249
NHS Wolverhampton CCG,Midlands,262008
NHS Thurrock CCG,East of England,172525
NHS Hillingdon CCG,London,304824
NHS Waltham Forest CCG,London,276700
NHS Basildon and Brentwood CCG,East of England,262412
NHS Walsall CCG,Midlands,283378
NHS Birmingham and Solihull CCG,Midlands,1179020
NHS East Berkshire CCG,South East,434463
NHS Herts Valleys CCG,East of England,595670
NHS Southend CCG,East of England,182463
NHS Havering CCG,London,257810
NHS Derby and Derbyshire CCG,Midlands,1019900
NHS West Essex CCG,East of England,306910
NHS Warwickshire North CCG,Midlands,193752
NHS Bradford District and Craven CCG,North East and Yorkshire,587936
NHS North East Essex CCG,East of England,338326
NHS Knowsley CCG,North West,149571
NHS Telford and Wrekin CCG,Midlands,177799
NHS Bedfordshire CCG,East of England,455229
NHS Northamptonshire CCG,Midlands,730650
NHS Doncaster CCG,North East and Yorkshire,310542
NHS Tower Hamlets CCG,London,317705
NHS Sunderland CCG,North East and Yorkshire,277417
NHS East and North Hertfordshire CCG,East of England,569078
NHS City and Hackney CCG,London,288371
NHS Southampton CCG,South East,252796
NHS Surrey Heartlands CCG,South East,1036742
NHS Tees Valley CCG,North East and Yorkshire,674284
NHS Dudley CCG,Midlands,320626
NHS Nottingham and Nottinghamshire CCG,Midlands,1037356
NHS East Leicestershire and Rutland CCG,Midlands,335800
NHS Coventry and Rugby CCG,Midlands,473979
NHS Barnsley CCG,North East and Yorkshire,245199
NHS North Hampshire CCG,South East,223795
NHS Portsmouth CCG,South East,215133
NHS Berkshire West CCG,South East,489709
NHS Kent and Medway CCG,South East,1846478
NHS North East Hampshire and Farnham CCG,South East,211590
NHS Blackburn with Darwen CCG,North West,148942
NHS South Tyneside CCG,North East and Yorkshire,150265
NHS Oldham CCG,North West,235623
NHS Liverpool CCG,North West,494814
NHS West Leicestershire CCG,Midlands,402165
NHS Buckinghamshire CCG,South East,542512
NHS Castle Point and Rochford CCG,East of England,177051
