"","country","estimate","lower","upper","totalNewCases","totalCases","population","propCurrentlyInfMid","propCurrentlyInfLow","propCurrentlyInfHigh"
"1","Afghanistan",0.487125564952804,0.357843486076082,0.64449848363484,5113,8676,38928341,0.00054,0.00026,0.0012
"2","Albania",0.865286366084026,0.480992227399715,0.999998747415191,127,969,2877800,0.0001,0.000057,0.00031
"3","Algeria",0.338242541293411,0.232143575056869,0.476479481739675,2546,7728,43851043,0.00034,0.00016,0.00083
"4","Andorra",0.210845269685223,0.0976817921658321,0.360807500922796,10,762,77265,0.0012,0.00047,0.0044
"5","Argentina",0.261197464742624,0.192288250955971,0.337984201390198,4560,9918,45195777,0.00077,0.00039,0.0017
"6","Armenia",0.732168620809376,0.517962371439172,0.971015081942921,2722,5606,2963234,0.0025,0.0012,0.0059
"7","Australia",0.87207545132783,0.569147069032456,0.999903066212334,185,7081,25499881,0.000017,0.0000094,0.000042
"8","Austria",0.674090558003985,0.424764041507295,0.937777555955255,659,16332,9006400,0.00022,0.0001,0.00057
"9","Azerbaijan",0.859185338879112,0.611243149121141,0.999787382406642,1545,3749,10139175,0.00035,0.0002,0.00083
"10","Bahamas",0.542844841749603,0.144092667190033,0.992186629668522,5,97,393248,0.000047,0.000017,0.00029
"11","Bangladesh",0.592948450348414,0.414477552226966,0.953385313941656,16086,28511,164689383,0.00033,0.00013,0.00079
"12","Belarus",0.991186360520985,0.923419611374156,0.999999999996211,13203,33371,9449321,0.0028,0.0018,0.005
"13","Belgium",0.183453349003004,0.13778113232836,0.228056151650209,4815,56235,11589616,0.0045,0.0024,0.01
"14","Bolivia",0.218098371933584,0.163735978099765,0.284360311409276,3106,5187,11673029,0.0024,0.0012,0.0054
"15","Bosnia and Herzegovina",0.196653563632622,0.106371892655359,0.36829070320314,325,2352,3280815,0.001,0.00035,0.0031
"16","Brazil",0.13435282252646,0.107640489622248,0.158193273307301,174981,310087,212559409,0.012,0.0068,0.025
"17","Bulgaria",0.215740343569492,0.147185006933163,0.298195218320369,543,2372,6948445,0.00072,0.00034,0.0018
"18","Burkina Faso",0.311889456538628,0.168245068070395,0.600428890759051,76,812,20903278,0.000023,0.0000079,0.000072
"19","Cameroon",0.764023205960383,0.199007045723492,0.999999999088811,2023,4288,26545864,0.0002,0.000099,0.0013
"20","Canada",0.201393887840287,0.161805754865026,0.241934301508892,16391,81313,37742157,0.0043,0.0023,0.0089
"21","Chad",0.202934031422599,0.110770768505142,0.346991137509538,335,588,16425859,0.0002,0.000076,0.00061
"22","Chile",0.648119281312684,0.453517850160075,0.901314634876519,33000,57581,19116209,0.0053,0.0025,0.013
"23","China",0.983492844292867,0.904757079363481,1,103,84079,1439323774,0.00000015,0.000000093,0.00000026
"24","Colombia",0.383053219808978,0.297397765719031,0.482977848401961,8874,18330,50882884,0.00091,0.00047,0.002
"25","Congo",0.455861714888878,0.192562803129376,0.915736897885586,195,469,5518092,0.00016,0.00005,0.00061
"26","Côte d'Ivoire",0.841708353043908,0.570400247488938,0.99980145464761,660,2231,26378275,0.000059,0.000033,0.00015
"27","Croatia",0.25185098926072,0.133174460641451,0.476399531020008,112,2237,4105268,0.00022,0.000074,0.00068
"28","Cuba",0.511272018552027,0.283001588815872,0.845129449393813,179,1908,11326616,0.000062,0.000024,0.00019
"29","Cyprus",0.839975707472203,0.508479745541721,0.999865294446307,34,923,1207361,0.000067,0.000037,0.00018
"30","Czechia",0.355201800069026,0.263181632066992,0.464621670326387,723,8754,10708982,0.00038,0.00019,0.00086
"31","Democratic Republic of the Congo",0.40097844305314,0.24498324464951,0.622129038094957,1048,1945,89561404,0.000058,0.000024,0.00016
"32","Denmark",0.454829763827223,0.308342439002248,0.624755601353757,1099,11182,5792203,0.00083,0.00039,0.0021
"33","Dominican Republic",0.694364405803901,0.540058430836265,0.851454579656522,4562,13657,10847904,0.0012,0.00064,0.0026
"34","Ecuador",0.125662453951303,0.0990209769374926,0.154632320020424,5008,35306,17643060,0.0045,0.0024,0.0096
"35","Egypt",0.343596365850604,0.262715079411009,0.443961922885636,7022,15003,102334403,0.0004,0.0002,0.00087
"36","El Salvador",0.499529534991107,0.307846330849841,0.781997817563582,945,1640,6486201,0.00058,0.00024,0.0016
"37","Estonia",0.347795565290112,0.208146214101624,0.553501681689675,80,1800,1326539,0.00035,0.00014,0.00097
"38","Finland",0.44166224346572,0.267149212372693,0.660802288393654,820,6493,5540718,0.00067,0.00029,0.0018
"39","France",0.108226842867901,0.0875525098637509,0.129188935541693,6384,144163,65273512,0.0018,0.00098,0.0037
"40","Georgia",0.689453408782389,0.299980793940543,0.99747072511773,106,721,3989175,0.000077,0.000035,0.0003
"41","Germany",0.278150058181732,0.222640393118705,0.342336372274325,9912,177212,83783945,0.00085,0.00045,0.0018
"42","Ghana",0.97061179972902,0.869504843350854,0.999999998887783,3395,6486,31072945,0.00023,0.00014,0.00042
"43","Greece",0.232195410752963,0.133645840129351,0.352061238377931,175,2853,10423056,0.00014,0.000062,0.00042
"44","Guatemala",0.425280848194006,0.284438896167051,0.618155549452401,1680,2512,17915567,0.00044,0.0002,0.0011
"45","Guinea",0.922262834296471,0.712476400899358,0.999998505882064,1140,3067,13132792,0.00019,0.00011,0.00041
"46","Guyana",0.597651598820293,0.159600869264306,0.995714093748505,34,127,786559,0.00014,0.000056,0.0009
"47","Haiti",0.306625791146794,0.132255966233619,0.649462792267101,605,734,11402533,0.00035,0.00011,0.0013
"48","Honduras",0.36518082998306,0.235170791417867,0.550224847105369,1519,3204,9904608,0.00084,0.00036,0.0022
"49","Hungary",0.137185415348337,0.0939355189207237,0.195537244482317,500,3678,9660350,0.00075,0.00034,0.0018
"50","Iceland",0.873685288131775,0.550016638901487,0.999991782664509,2,1803,341250,0.000013,0.0000076,0.000036
"51","India",0.365434683796519,0.296572587442881,0.440558629652306,62105,118447,1380004385,0.00025,0.00013,0.00051
