"","date","country_code","country","new_cases","new_deaths"
"1",2020-02-29,"EOE","EOE",0,0
"2",2020-03-01,"EOE","EOE",3,0
"3",2020-03-02,"EOE","EOE",0,1
"4",2020-03-03,"EOE","EOE",7,0
"5",2020-03-04,"EOE","EOE",7,0
"6",2020-03-05,"EOE","EOE",1,0
"7",2020-03-06,"EOE","EOE",5,1
"8",2020-03-07,"EOE","EOE",3,0
"9",2020-03-08,"EOE","EOE",2,0
"10",2020-03-09,"EOE","EOE",4,1
"11",2020-03-10,"EOE","EOE",16,0
"12",2020-03-11,"EOE","EOE",14,0
"13",2020-03-12,"EOE","EOE",18,0
"14",2020-03-13,"EOE","EOE",37,1
"15",2020-03-14,"EOE","EOE",16,2
"16",2020-03-15,"EOE","EOE",35,2
"17",2020-03-16,"EOE","EOE",23,1
"18",2020-03-17,"EOE","EOE",38,1
"19",2020-03-18,"EOE","EOE",74,5
"20",2020-03-19,"EOE","EOE",56,4
"21",2020-03-20,"EOE","EOE",69,2
"22",2020-03-21,"EOE","EOE",77,11
"23",2020-03-22,"EOE","EOE",91,12
"24",2020-03-23,"EOE","EOE",197,11
"25",2020-03-24,"EOE","EOE",165,19
"26",2020-03-25,"EOE","EOE",188,26
"27",2020-03-26,"EOE","EOE",215,36
"28",2020-03-27,"EOE","EOE",244,38
"29",2020-03-28,"EOE","EOE",183,28
"30",2020-03-29,"EOE","EOE",209,43
"31",2020-03-30,"EOE","EOE",300,45
"32",2020-03-31,"EOE","EOE",322,70
"33",2020-04-01,"EOE","EOE",332,61
"34",2020-04-02,"EOE","EOE",365,64
"35",2020-04-03,"EOE","EOE",346,80
"36",2020-04-04,"EOE","EOE",263,71
"37",2020-04-05,"EOE","EOE",281,76
"38",2020-04-06,"EOE","EOE",383,71
"39",2020-04-07,"EOE","EOE",378,93
"40",2020-04-08,"EOE","EOE",397,111
"41",2020-04-09,"EOE","EOE",319,87
"42",2020-04-10,"EOE","EOE",314,74
"43",2020-04-11,"EOE","EOE",260,91
"44",2020-04-12,"EOE","EOE",242,101
"45",2020-04-13,"EOE","EOE",287,78
"46",2020-04-14,"EOE","EOE",283,61
"47",2020-04-15,"EOE","EOE",266,82
"48",2020-04-16,"EOE","EOE",292,74
