"","country","totalCases","totalNewCases","estimate","lower","upper","population","propCurrentlyInfMid","propCurrentlyInfLow","propCurrentlyInfHigh"
"1","Afghanistan",18054,8838,0.775120269209847,0.589875801517045,0.956257398954002,38928341,0.00059,0.00031,0.0013
"2","Albania",1197,216,0.884743796665651,0.496292906202687,0.99999998305348,2877800,0.00017,0.000097,0.0005
"3","Algeria",9831,1913,0.40684843699407,0.278183300746794,0.592366706152954,43851043,0.00021,0.000096,0.00052
"4","Andorra",852,90,0.239523854498258,0.114957524537183,0.459218890584765,77265,0.0097,0.0033,0.034
"5","Argentina",19255,8619,0.542746577260462,0.414281397635657,0.736162804704205,45195777,0.0007,0.00034,0.0015
"6","Armenia",11221,5293,0.421588374051115,0.269959565397099,0.614671097052464,2963234,0.0085,0.0038,0.022
"7","Australia",7240,145,0.880000111366028,0.584060222179387,0.999956511048028,25499881,0.000013,0.0000074,0.000032
"8","Austria",16741,380,0.315366838464801,0.169188281823801,0.524232688832932,9006400,0.00027,0.0001,0.00083
"9","Azerbaijan",6522,2667,0.788420754011356,0.526831709308106,0.995590633091641,10139175,0.00067,0.00034,0.0017
"10","Bahamas",102,5,0.592968007994403,0.174032689502972,0.997470845192254,393248,0.000043,0.000017,0.00024
"11","Bahrain",13296,4882,0.979187074315819,0.899105547473632,0.999999999986844,1701583,0.0059,0.0037,0.011
"12","Bangladesh",57563,27358,0.715180108458807,0.541925222491275,0.977519275469323,164689383,0.00046,0.00022,0.001
"13","Belarus",45981,11678,0.989685715395148,0.910742047536978,0.999999999999834,9449321,0.0025,0.0016,0.0045
"14","Belgium",58767,2256,0.278350327124401,0.206177126425255,0.352767206391093,11589616,0.0014,0.00072,0.0031
"15","Bolivia",12245,6666,0.284559553418137,0.220422153848325,0.358764422032173,11673029,0.004,0.0021,0.0086
"16","Bosnia and Herzegovina",2593,221,0.319530162014489,0.152737857090906,0.627900133785907,3280815,0.00042,0.00014,0.0015
"17","Brazil",614941,284051,0.236240186256749,0.195132448202997,0.278391375564891,212559409,0.011,0.0062,0.023
"18","Bulgaria",2585,177,0.228829571083721,0.158309655948003,0.320744146402809,6948445,0.00022,0.0001,0.00054
"19","Burkina Faso",885,71,0.457649809227649,0.210045586961468,0.860265148037435,20903278,0.000015,0.0000051,0.000054
"20","Cameroon",6789,2389,0.892973075045121,0.511263623982661,0.999999999987854,26545864,0.0002,0.00012,0.00059
"21","Canada",93715,11246,0.144956718107443,0.117301810949433,0.174618350912963,37742157,0.0041,0.0022,0.0085
"22","Chad",828,217,0.586673786904639,0.322740365377663,0.886372626990153,16425859,0.000045,0.000019,0.00014
"23","Chile",118292,56435,0.731566356873073,0.582586345271977,0.902091262668108,19116209,0.0081,0.0043,0.017
"24","China",84171,90,0.936002777969097,0.235273882841385,1,1439323774,0.00000013,0.000000081,0.00000089
"25","Colombia",35120,15989,0.356970474342143,0.275829939351892,0.444171354467442,50882884,0.0018,0.00092,0.0038
"26","Congo",635,166,0.532700928033927,0.265214474684295,0.935490828490225,5518092,0.00011,0.000042,0.00038
